Date,Value,Anomaly
192610,55.1,-2.5
192611,44.9,-1.8
192612,28.9,-7.1
192701,30.9,-1.4
192702,36.4,3.5
192703,43.0,1.8
192704,48.6,-2.9
192705,59.0,-3.2
192706,67.3,-3.7
192707,73.9,-2.5
192708,68.4,-6.3
192709,67.9,-0.2
192710,59.5,1.9
192711,49.1,2.4
192712,36.7,0.7
192801,33.9,1.6
192802,33.0,0.1
192803,38.8,-2.4
192804,48.6,-2.9
192805,59.3,-2.9
192806,67.4,-3.6
192807,75.9,-0.5
192808,75.4,0.7
192809,64.6,-3.5
192810,58.8,1.2
192811,47.3,0.6
192812,39.3,3.3
192901,31.9,-0.4
192902,32.9,0.0
192903,45.1,3.9
192904,50.9,-0.6
192905,61.7,-0.5
192906,71.5,0.5
192907,75.9,-0.5
192908,73.1,-1.6
192909,69.4,1.3
192910,54.6,-3.0
192911,46.2,-0.5
192912,35.8,-0.2
193001,33.3,1.0
193002,37.0,4.1
193003,40.2,-1.0
193004,48.4,-3.1
193005,63.8,1.6
193006,73.5,2.5
193007,76.4,0.0
193008,73.5,-1.2
193009,72.0,3.9
193010,55.5,-2.1
193011,45.4,-1.3
193012,34.6,-1.4
193101,32.7,0.4
193102,33.8,0.9
193103,40.3,-0.9
193104,51.1,-0.4
193105,61.4,-0.8
193106,70.7,-0.3
193107,77.4,1.0
193108,75.2,0.5
193109,72.3,4.2
193110,61.2,3.6
193111,51.9,5.2
193112,40.9,4.9
193201,43.2,10.9
193202,36.1,3.2
193203,37.3,-3.9
193204,49.0,-2.5
193205,62.0,-0.2
193206,70.4,-0.6
193207,76.1,-0.3
193208,76.6,1.9
193209,69.7,1.6
193210,58.4,0.8
193211,44.0,-2.7
193212,38.9,2.9
193301,40.3,8.0
193302,34.1,1.2
193303,38.3,-2.9
193304,50.4,-1.1
193305,64.4,2.2
193306,72.4,1.4
193307,75.8,-0.6
193308,74.8,0.1
193309,69.5,1.4
193310,56.1,-1.5
193311,41.8,-4.9
193312,32.7,-3.3
193401,34.6,2.3
193402,19.9,-13.0
193403,37.3,-3.9
193404,50.3,-1.2
193405,63.6,1.4
193406,73.8,2.8
193407,77.7,1.3
193408,72.0,-2.7
193409,69.2,1.1
193410,54.5,-3.1
193411,48.8,2.1
193412,33.4,-2.6
193501,28.8,-3.5
193502,31.2,-1.7
193503,43.4,2.2
193504,49.6,-1.9
193505,59.9,-2.3
193506,70.1,-0.9
193507,77.2,0.8
193508,74.6,-0.1
193509,65.3,-2.8
193510,57.4,-0.2
193511,48.6,1.9
193512,30.0,-6.0
193601,29.3,-3.0
193602,25.7,-7.2
193603,45.2,4.0
193604,47.8,-3.7
193605,64.4,2.2
193606,69.7,-1.3
193607,76.2,-0.2
193608,75.4,0.7
193609,68.1,0.0
193610,57.5,-0.1
193611,42.6,-4.1
193612,38.6,2.6
193701,40.3,8.0
193702,34.8,1.9
193703,36.5,-4.7
193704,49.6,-1.9
193705,64.2,2.0
193706,71.8,0.8
193707,76.6,0.2
193708,76.6,1.9
193709,66.0,-2.1
193710,55.1,-2.5
193711,46.4,-0.3
193712,35.4,-0.6
193801,32.1,-0.2
193802,35.4,2.5
193803,44.1,2.9
193804,53.7,2.2
193805,60.8,-1.4
193806,70.3,-0.7
193807,76.5,0.1
193808,78.2,3.5
193809,66.0,-2.1
193810,59.8,2.2
193811,48.3,1.6
193812,37.0,1.0
193901,32.2,-0.1
193902,37.0,4.1
193903,39.2,-2.0
193904,48.3,-3.2
193905,64.9,2.7
193906,72.9,1.9
193907,76.6,0.2
193908,78.0,3.3
193909,68.6,0.5
193910,57.3,-0.3
193911,43.7,-3.0
193912,36.9,0.9
194001,24.9,-7.4
194002,32.9,0.0
194003,35.1,-6.1
194004,46.8,-4.7
194005,60.7,-1.5
194006,70.4,-0.6
194007,76.2,-0.2
194008,71.3,-3.4
194009,66.6,-1.5
194010,53.7,-3.9
194011,45.3,-1.4
194012,38.4,2.4
194101,29.4,-2.9
194102,31.1,-1.8
194103,35.9,-5.3
194104,56.8,5.3
194105,64.7,2.5
194106,71.9,0.9
194107,75.8,-0.6
194108,74.0,-0.7
194109,70.0,1.9
194110,60.7,3.1
194111,50.0,3.3
194112,38.3,2.3
194201,30.7,-1.6
194202,29.6,-3.3
194203,43.0,1.8
194204,53.9,2.4
194205,65.3,3.1
194206,71.0,0.0
194207,76.3,-0.1
194208,73.6,-1.1
194209,68.3,0.2
194210,58.7,1.1
194211,47.0,0.3
194212,31.1,-4.9
194301,30.7,-1.6
194302,34.6,1.7
194303,40.2,-1.0
194304,46.1,-5.4
194305,62.5,0.3
194306,76.2,5.2
194307,76.9,0.5
194308,75.9,1.2
194309,67.3,-0.8
194310,55.8,-1.8
194311,45.3,-1.4
194312,33.0,-3.0
194401,33.9,1.6
194402,33.2,0.3
194403,37.7,-3.5
194404,48.8,-2.7
194405,67.0,4.8
194406,72.3,1.3
194407,79.4,3.0
194408,77.8,3.1
194409,70.0,1.9
194410,57.0,-0.6
194411,46.0,-0.7
194412,32.3,-3.7
194501,25.2,-7.1
194502,33.9,1.0
194503,51.1,9.9
194504,55.6,4.1
194505,59.2,-3.0
194506,70.8,-0.2
194507,74.6,-1.8
194508,73.4,-1.3
194509,70.3,2.2
194510,56.2,-1.4
194511,47.6,0.9
194512,31.0,-5.0
194601,34.1,1.8
194602,31.7,-1.2
194603,49.8,8.6
194604,50.4,-1.1
194605,61.9,-0.3
194606,69.7,-1.3
194607,75.4,-1.0
194608,70.9,-3.8
194609,69.8,1.7
194610,61.7,4.1
194611,50.4,3.7
194612,38.1,2.1
194701,37.1,4.8
194702,29.2,-3.7
194703,37.8,-3.4
194704,50.4,-1.1
194705,59.9,-2.3
194706,68.4,-2.6
194707,75.5,-0.9
194708,75.9,1.2
194709,68.6,0.5
194710,63.6,6.0
194711,44.2,-2.5
194712,34.0,-2.0
194801,25.3,-7.0
194802,30.7,-2.2
194803,42.0,0.8
194804,51.0,-0.5
194805,60.2,-2.0
194806,69.4,-1.6
194807,77.1,0.7
194808,75.3,0.6
194809,70.2,2.1
194810,56.6,-1.0
194811,52.4,5.7
194812,38.3,2.3
194901,38.6,6.3
194902,38.6,5.7
194903,42.9,1.7
194904,53.7,2.2
194905,63.0,0.8
194906,74.2,3.2
194907,79.6,3.2
194908,76.7,2.0
194909,66.2,-1.9
194910,63.1,5.5
194911,46.3,-0.4
194912,39.4,3.4
195001,41.4,9.1
195002,31.6,-1.3
195003,36.3,-4.9
195004,48.4,-3.1
195005,58.7,-3.5
195006,70.2,-0.8
195007,75.0,-1.4
195008,73.1,-1.6
195009,64.6,-3.5
195010,60.0,2.4
195011,48.4,1.7
195012,34.9,-1.1
195101,36.2,3.9
195102,36.2,3.3
195103,41.5,0.3
195104,53.0,1.5
195105,63.3,1.1
195106,69.8,-1.2
195107,76.8,0.4
195108,74.6,-0.1
195109,68.2,0.1
195110,58.6,1.0
195111,43.5,-3.2
195112,37.7,1.7
195201,36.2,3.9
195202,36.2,3.3
195203,40.2,-1.0
195204,55.1,3.6
195205,60.7,-1.5
195206,73.5,2.5
195207,80.3,3.9
195208,74.9,0.2
195209,69.9,1.8
195210,55.7,-1.9
195211,48.5,1.8
195212,38.4,2.4
195301,37.6,5.3
